QueryKey;CityCode;Directions;Cityname;NowTime;Status;Num_routes;directions
2704302 MACEIÓ 2020-04-11 17:01:54 EW;2704302;EW;MACEIÓ;2020-04-11 17:01:54;OK;1;EastWest
2704302 MACEIÓ 2020-04-11 17:01:55 NS;2704302;NS;MACEIÓ;2020-04-11 17:01:55;OK;1;NorthSouth
3301702 DUQUE DE CAXIAS 2020-04-11 17:01:59 EW;3301702;EW;DUQUE DE CAXIAS;2020-04-11 17:01:59;OK;1;EastWest
3301702 DUQUE DE CAXIAS 2020-04-11 17:02:01 NS;3301702;NS;DUQUE DE CAXIAS;2020-04-11 17:02:01;OK;1;NorthSouth
5002704 CAMPO GRANDE 2020-04-11 17:02:04 EW;5002704;EW;CAMPO GRANDE;2020-04-11 17:02:04;OK;1;EastWest
5002704 CAMPO GRANDE 2020-04-11 17:02:07 NS;5002704;NS;CAMPO GRANDE;2020-04-11 17:02:07;OK;1;NorthSouth
2408102 NATAL 2020-04-11 17:02:10 EW;2408102;EW;NATAL;2020-04-11 17:02:10;OK;1;EastWest
2408102 NATAL 2020-04-11 17:02:11 NS;2408102;NS;NATAL;2020-04-11 17:02:11;OK;1;NorthSouth
2211001 TERESINA 2020-04-11 17:02:13 EW;2211001;EW;TERESINA;2020-04-11 17:02:13;OK;1;EastWest
2211001 TERESINA 2020-04-11 17:02:17 NS;2211001;NS;TERESINA;2020-04-11 17:02:17;OK;1;NorthSouth
3548708 SÃO BERNARDO DO CAMPO 2020-04-11 17:02:19 EW;3548708;EW;SÃO BERNARDO DO CAMPO;2020-04-11 17:02:19;OK;1;EastWest
3548708 SÃO BERNARDO DO CAMPO 2020-04-11 17:02:20 NS;3548708;NS;SÃO BERNARDO DO CAMPO;2020-04-11 17:02:20;OK;1;NorthSouth
3303500 NOVA IGUAÇU 2020-04-11 17:02:23 EW;3303500;EW;NOVA IGUAÇU;2020-04-11 17:02:23;OK;1;EastWest
3303500 NOVA IGUAÇU 2020-04-11 17:02:26 NS;3303500;NS;NOVA IGUAÇU;2020-04-11 17:02:26;OK;1;NorthSouth
2507507 JOÃO PESSOA 2020-04-11 17:02:30 EW;2507507;EW;JOÃO PESSOA;2020-04-11 17:02:30;OK;1;EastWest
2507507 JOÃO PESSOA 2020-04-11 17:02:34 NS;2507507;NS;JOÃO PESSOA;2020-04-11 17:02:34;OK;1;NorthSouth
